# { 't_start': 1764629061.984163, 'env_id': 'MiniGrid-Dynamic-Cardinal' }
r,l,t
0.961328125,11,0.8888888359069824
0.95078125,14,0.8945488929748535
0.954296875,13,0.9001779556274414
0.94375,16,0.9034378528594971
0.961328125,11,0.9057269096374512
0.961328125,11,0.9102027416229248
0.96484375,10,0.9134979248046875
0.94375,16,0.917747974395752
0.9578125,12,0.9203729629516602
0.940234375,17,0.924854040145874
0.95078125,14,0.9279508590698242
0.9578125,12,0.9306988716125488
0.95078125,14,0.9349660873413086
0.94375,16,0.9384329319000244
0.96484375,10,0.9413189888000488
0.95078125,14,0.9443278312683105
0.96484375,10,0.9480009078979492
0.954296875,13,0.9512958526611328
0.96484375,10,0.953399658203125
0.96484375,10,0.9556500911712646
0.9578125,12,0.9624340534210205
0.947265625,15,0.9669549465179443
0.9578125,12,0.972653865814209
0.96484375,10,0.9757959842681885
0.96484375,10,0.9780170917510986
0.94375,16,0.9815988540649414
0.954296875,13,0.9843630790710449
0.961328125,11,0.9868168830871582
0.94375,16,0.9903807640075684
0.9578125,12,0.9932060241699219
0.933203125,19,0.9979116916656494
0.96484375,10,1.0008149147033691
0.96484375,10,1.0030128955841064
0.961328125,11,1.0066118240356445
0.961328125,11,1.0092389583587646
0.96484375,10,1.0128998756408691
0.96484375,10,1.0150856971740723
0.9578125,12,1.0177068710327148
0.94375,16,1.023252010345459
0.915625,24,1.0307939052581787
0.961328125,11,1.0362827777862549
0.96484375,10,1.0385537147521973
0.96484375,10,1.0422239303588867
0.947265625,15,1.0455799102783203
0.940234375,17,1.048987865447998
0.9578125,12,1.051698923110962
0.9578125,12,1.0541329383850098
0.94375,16,1.057694911956787
-1,16,1.0616309642791748
0.961328125,11,1.0642008781433105
0.96484375,10,1.067124843597412
0.96484375,10,1.069545030593872
0.961328125,11,1.0722618103027344
0.96484375,10,1.0744519233703613
0.947265625,15,1.0787367820739746
0.95078125,14,1.0817620754241943
0.95078125,14,1.0847749710083008
0.954296875,13,1.087716817855835
0.961328125,11,1.0901880264282227
-1,2,1.0907068252563477
0.961328125,11,1.093055009841919
0.94375,16,1.096369981765747
-1,14,1.0995588302612305
0.947265625,15,1.1029229164123535
0.947265625,15,1.107738733291626
0.96484375,10,1.109907865524292
0.961328125,11,1.1141998767852783
0.96484375,10,1.1177499294281006
0.96484375,10,1.122370719909668
0.947265625,15,1.1257119178771973
0.96484375,10,1.134638786315918
0.93671875,18,1.1389398574829102
0.961328125,11,1.1414659023284912
0.961328125,11,1.1439099311828613
0.9578125,12,1.1465518474578857
0.9578125,12,1.149061918258667
0.947265625,15,1.1523079872131348
0.926171875,21,1.1567418575286865
0.96484375,10,1.159045934677124
0.947265625,15,1.1622428894042969
0.96484375,10,1.1644458770751953
-1,1,1.1649537086486816
0.961328125,11,1.1718268394470215
0.940234375,17,1.1770298480987549
0.94375,16,1.1802458763122559
0.96484375,10,1.1824939250946045
0.9578125,12,1.185187816619873
0.9578125,12,1.1877939701080322
0.96484375,10,1.189863920211792
0.96484375,10,1.193505048751831
0.96484375,10,1.195779800415039
0.94375,16,1.1988637447357178
0.954296875,13,1.203510046005249
0.9578125,12,1.2064247131347656
0.9578125,12,1.2090797424316406
0.9578125,12,1.212695837020874
0.93671875,18,1.2180187702178955
0.954296875,13,1.2218608856201172
0.940234375,17,1.2261297702789307
0.947265625,15,1.2294509410858154
0.961328125,11,1.2322258949279785
0.947265625,15,1.2354917526245117
0.9578125,12,1.2386157512664795
0.96484375,10,1.2453796863555908
0.94375,16,1.249511957168579
0.9578125,12,1.252004861831665
0.93671875,18,1.2572648525238037
0.95078125,14,1.2603650093078613
0.961328125,11,1.2626397609710693
0.961328125,11,1.2650177478790283
0.947265625,15,1.2680938243865967
0.961328125,11,1.2705318927764893
0.940234375,17,1.2749199867248535
0.96484375,10,1.2769958972930908
0.947265625,15,1.2818827629089355
0.961328125,11,1.2842118740081787
0.940234375,17,1.2877240180969238
0.9578125,12,1.2910559177398682
0.96484375,10,1.2932028770446777
0.96484375,10,1.2972428798675537
-1,3,1.298142910003662
0.9578125,12,1.3020050525665283
0.947265625,15,1.308941125869751
0.961328125,11,1.3142547607421875
0.95078125,14,1.3174190521240234
0.954296875,13,1.3204150199890137
0.95078125,14,1.3240697383880615
0.9578125,12,1.326643943786621
0.961328125,11,1.3290629386901855
0.954296875,13,1.3319029808044434
0.954296875,13,1.3348398208618164
0.96484375,10,1.3369178771972656
0.94375,16,1.341404914855957
0.96484375,10,1.3462698459625244
0.95078125,14,1.351503849029541
0.9578125,12,1.3541018962860107
0.95078125,14,1.3572018146514893
0.96484375,10,1.3594539165496826
0.954296875,13,1.3645198345184326
0.961328125,11,1.3671927452087402
0.947265625,15,1.3705039024353027
0.92265625,22,1.3753128051757812
0.961328125,11,1.37776780128479
0.96484375,10,1.3798918724060059
0.96484375,10,1.3892529010772705
0.9578125,12,1.3918898105621338
0.933203125,19,1.3966989517211914
0.96484375,10,1.4062309265136719
0.9578125,12,1.409773826599121
0.961328125,11,1.41221284866333
0.954296875,13,1.4159808158874512
0.93671875,18,1.4202277660369873
0.961328125,11,1.4224860668182373
0.9578125,12,1.4252040386199951
0.933203125,19,1.4295008182525635
0.96484375,10,1.4318468570709229
0.96484375,10,1.434032917022705
0.9578125,12,1.43662691116333
0.940234375,17,1.4410488605499268
0.961328125,11,1.4434659481048584
0.961328125,11,1.4458587169647217
0.9578125,12,1.448439121246338
0.9578125,12,1.4509997367858887
0.954296875,13,1.4536628723144531
0.961328125,11,1.4560787677764893
0.947265625,15,1.459439754486084
0.96484375,10,1.4615061283111572
0.947265625,15,1.464615821838379
0.961328125,11,1.4671380519866943
0.96484375,10,1.4692339897155762
0.96484375,10,1.4743287563323975
0.9578125,12,1.488520860671997
0.947265625,15,1.4915978908538818
0.96484375,10,1.4937007427215576
0.9578125,12,1.496279001235962
0.912109375,25,1.501309871673584
0.95078125,14,1.5046467781066895
0.9578125,12,1.507295846939087
0.954296875,13,1.5101897716522217
0.961328125,11,1.5142338275909424
0.954296875,13,1.5170791149139404
0.926171875,21,1.5215649604797363
0.96484375,10,1.5244228839874268
-1,2,1.525080680847168
0.93671875,18,1.5289428234100342
0.94375,16,1.532228946685791
0.94375,16,1.538593053817749
0.96484375,10,1.5407538414001465
0.954296875,13,1.543576717376709
0.96484375,10,1.5456969738006592
0.954296875,13,1.549677848815918
0.95078125,14,1.5533349514007568
0.96484375,10,1.5573220252990723
0.9578125,12,1.5627357959747314
0.96484375,10,1.564997911453247
0.96484375,10,1.567126989364624
0.947265625,15,1.5705769062042236
0.961328125,11,1.5733277797698975
0.92265625,22,1.5782489776611328
0.9578125,12,1.5809180736541748
0.9578125,12,1.583526849746704
0.947265625,15,1.5868690013885498
0.96484375,10,1.5892448425292969
0.9578125,12,1.5968568325042725
-1,1,1.597364902496338
0.94375,16,1.6006288528442383
0.93671875,18,1.604515790939331
0.96484375,10,1.6068508625030518
0.954296875,13,1.6098077297210693
-1,2,1.6105449199676514
0.947265625,15,1.6211247444152832
0.961328125,11,1.6320319175720215
0.9578125,12,1.6346077919006348
0.961328125,11,1.6370937824249268
0.9578125,12,1.6395740509033203
0.96484375,10,1.6418917179107666
0.96484375,10,1.6442430019378662
0.95078125,14,1.6472928524017334
0.954296875,13,1.6501367092132568
0.961328125,11,1.6525928974151611
0.947265625,15,1.65590500831604
0.940234375,17,1.6596317291259766
0.961328125,11,1.662153959274292
0.95078125,14,1.6656339168548584
0.96484375,10,1.6678268909454346
0.95078125,14,1.6708078384399414
0.96484375,10,1.6729369163513184
0.96484375,10,1.675144910812378
0.96484375,10,1.6774101257324219
0.940234375,17,1.6811978816986084
0.961328125,11,1.6836779117584229
0.947265625,15,1.6870410442352295
0.961328125,11,1.689460039138794
-1,1,1.689857006072998
0.94375,16,1.6931228637695312
0.95078125,14,1.6961119174957275
0.96484375,10,1.6983978748321533
0.95078125,14,1.7013099193572998
0.9578125,12,1.7040457725524902
0.95078125,14,1.7072129249572754
0.96484375,10,1.7095880508422852
0.95078125,14,1.712707757949829
0.961328125,11,1.7166290283203125
0.9578125,12,1.720979928970337
0.961328125,11,1.7233967781066895
0.954296875,13,1.7264628410339355
0.954296875,13,1.7293198108673096
0.954296875,13,1.7331628799438477
-1,1,1.734961986541748
0.919140625,23,1.7409160137176514
0.9578125,12,1.743614912033081
0.954296875,13,1.7504687309265137
0.933203125,19,1.7549078464508057
0.9578125,12,1.7573108673095703
0.96484375,10,1.759300947189331
0.96484375,10,1.7614099979400635
0.961328125,11,1.7638638019561768
0.9578125,12,1.7668070793151855
0.96484375,10,1.7689738273620605
0.9578125,12,1.7747960090637207
0.95078125,14,1.7778220176696777
0.95078125,14,1.7807059288024902
0.940234375,17,1.7842659950256348
0.96484375,10,1.7865238189697266
0.96484375,10,1.7887458801269531
